#RavenParameters.dat
#parameter name, class type, units, autogeneratable, reasonable default, minimum, maximum
#xxx provided as a missing value placeholder

FOREST_COVERAGE LULT [0..1] False 0.0 0.0 1.0
FOREST_COV LULT [0..1] False 0.0 0.0 1.0
LAKE_PET_CORR LULT [0..1] False 1.0 0.0 2.0
OW_PET_CORR LULT [0..1] False 1.0 0.0 2.0
IMPERMEABLE_FRAC LULT [0..1] False 0.0 0.0 1.0
IMPERM LULT [0..1] False 0.0 0.0 1.0
PARTITION_COEFF LULT [0..1] False 0.4 0.0 1.0
SCS_CN LULT [-] False 50 1 100  #updated
SCS_IA_FRACTION LULT [0..1] False 0.2 0.0 1.0
HMETS_RUNOFF_COEFF LULT [0..1] False 0.3 0.0 1.0
B_EXP LULT [-] False 0.071 0.001 3.0
MAX_SAT_AREA_FRAC LULT [0..1] False 1.0 0.0 1.0
REFREEZE_FACTOR LULT [mm/dC/d] False 5.04 0.0 10.0
MELT_FACTOR LULT [mm/dC/d] False 5.04 0.0 100.0    #updated
CC_DECAY_COEFF LULT [1/d] False 0.0 0.0 1.0
SNOW_PATCH_LIMIT LULT [mm] False 0.0 0.0 100.0    #updated
HBV_MELT_GLACIER_CORR LULT [-] False 1.0 0.0 100.0    # updated
HBV_GLACIER_KMIN LULT [-] False 0.05 0.0 100.0  # TO BE VERIFIED
GLAC_STORAGE_COEFF LULT [1/d] False 0.1 0.0 1.0
HBV_GLACIER_AG LULT [-] False 0.05 0.0 100.0 # TO BE VERIFIED
ABST_PERCENT LULT [0..1] False 0.1 0.0 1.0
DEP_MAX LULT [mm] False 6.29 0.0 1000.0     #updated
PDMROF_B LULT [-] False 4.0 0.05 10.0
DEP_THRESHOLD LULT [mm]   False 0.0 0.0 1000.0    #updated
DEP_N LULT [-] False 1.0 0.0 100.0
DEP_MAX_FLOW  LULT [mm/d] False 0.1 0.0 1000.0
DEP_K LULT [-]  False 0.1 0.0 0.5
DEP_CRESTRATIO LULT [m/m]  False 0.0 10.0 1000.0
DEP_SEEP_K LULT [-]  False 0.1 0.0 0.5

POROSITY SOIL [0..1] True 0.4 0.0 1.0
VIC_ALPHA SOIL [-] False 0.0 0.5 1.0
VIC_ZMAX SOIL [mm] False 0.0 0.0 1000.0   # updated
VIC_ZMIN SOIL [mm] False 0.0 0.0 1000.0   #updated
VIC_EVAP_GAMMA SOIL [-] False 1.0 0.0 1.0  # TO BE VERIFIED
PET_CORRECTION SOIL [0..1] True 1.0 0.0 1.0
FIELD_CAPACITY SOIL [0..1] True 0.0 0.0 1.0
SAT_WILT SOIL [0..1] True 0.0 0.0 1.0
HYDRAUL_COND SOIL [mm/d] True 0.001 0.0 1000.0
WETTING_FRONT_PSI SOIL [-mm] True 300.0 0.0 1000.0
KSAT_STD_DEVIATION SOIL [log(mm/d)] False 0.0 0.0 1000.0 # TO BE VERIFIED
HBV_BETA SOIL [-] False 1.0 0.0 7.0   # updated
MAX_PERC_RATE SOIL [mm/d] False 0.05 0.01 1000.0  # updated
UBC_INFIL_SOIL_DEF SOIL [mm] False 100.0 0.0 1000.0
PERC_COEFF SOIL [1/d] False 0.01 0.0 1000.0
PERC_N SOIL [-] False 1.0 0.0 20.0    # updated
SAC_PERC_EXPON SOIL [-] False 3.0 1.0 5.0     # updated
SAC_PERC_ALPHA SOIL [-] False 100.0 1.0 250.0 # updated
MAX_CAP_RISE_RATE SOIL [mm/d] False 0.0 0.0 1000.0
BASEFLOW_COEFF SOIL [1/d] False 0.1 0.0 1.0
BASEFLOW_N SOIL [-] False 5.0 1.0 10.0    # updated
MAX_BASEFLOW_RATE SOIL [mm/d] False 100.0 0.001 1000.0
BASEFLOW_THRESH SOIL [unknown] False 0.5 0.0 1.0
MAX_INTERFLOW_RATE SOIL [mm/d] False 500.0 0.0 1000.0
EXCHANGE_FLOW SOIL [mm/d] False 0.1 0.0 1000.0  # TO BE VERIFIED

MAX_CAPACITY VEG [mm] True 5.0 0.0 100.0
TRUNK_FRACTION VEG [0..1] True 0.0 0.0 1.0
CHU_MATURITY VEG [-] False 2800.0 0.0 5000.0
REL_ROOTDEN VEG [0..1] False 0.1 0.0 1.0
